;DayOfWeek;POS Total Units Sold Promo and Regular;Encoded_REST_KEY
576;Tuesday;80;Store2
577;Tuesday;80;Store3
578;Tuesday;87;Store4
579;Wednesday;89;Store1
580;Wednesday;105;Store2
581;Wednesday;100;Store3
582;Wednesday;71;Store4
583;Thursday;70;Store1
584;Thursday;100;Store2
585;Thursday;62;Store3
586;Thursday;56;Store4
587;Friday;66;Store1
588;Friday;98;Store2
589;Friday;103;Store3
590;Friday;90;Store4
591;Saturday;84;Store1
592;Saturday;67;Store2
593;Saturday;85;Store3
594;Saturday;73;Store4
595;Sunday;72;Store1
596;Sunday;34;Store2
597;Sunday;57;Store3
598;Sunday;44;Store4
599;Monday;87;Store1
600;Monday;118;Store2
601;Monday;72;Store3
602;Monday;62;Store4
603;Tuesday;86;Store1
604;Tuesday;89;Store2
605;Tuesday;77;Store3
606;Tuesday;64;Store4
607;Wednesday;82;Store1
608;Wednesday;92;Store2
609;Wednesday;74;Store3
610;Wednesday;102;Store4
611;Thursday;86;Store1
612;Thursday;104;Store2
613;Thursday;85;Store3
614;Thursday;76;Store4
615;Friday;87;Store1
616;Friday;102;Store2
617;Friday;125;Store3
618;Friday;91;Store4
619;Saturday;90;Store1
620;Saturday;46;Store2
621;Saturday;80;Store3
622;Saturday;67;Store4
623;Sunday;65;Store1
624;Sunday;42;Store2
625;Sunday;87;Store3
626;Sunday;29;Store4
627;Monday;65;Store1
628;Monday;102;Store2
629;Monday;117;Store3
630;Monday;58;Store4
631;Monday;97;Store1
632;Monday;36;Store2
633;Monday;68;Store3
634;Monday;45;Store4
635;Saturday;64;Store1
636;Saturday;66;Store2
637;Saturday;43;Store3
638;Saturday;34;Store4
639;Sunday;85;Store1
640;Sunday;98;Store2
641;Sunday;88;Store3
642;Sunday;60;Store4
643;Monday;87;Store1
644;Monday;104;Store2
645;Monday;66;Store3
646;Monday;65;Store4
647;Tuesday;81;Store1
648;Tuesday;82;Store2
649;Tuesday;51;Store3
650;Tuesday;66;Store4
651;Wednesday;108;Store1
652;Wednesday;90;Store2
653;Wednesday;79;Store3
654;Wednesday;49;Store4
655;Thursday;83;Store1
656;Thursday;96;Store2
657;Thursday;85;Store3
658;Thursday;61;Store4
659;Friday;81;Store1
660;Friday;49;Store2
661;Friday;52;Store3
662;Friday;64;Store4
663;Saturday;46;Store1
664;Saturday;35;Store2
665;Saturday;32;Store3
666;Saturday;55;Store4
667;Sunday;97;Store1
668;Sunday;85;Store2
669;Sunday;57;Store3
670;Sunday;53;Store4
671;Monday;92;Store1
672;Monday;73;Store2
673;Monday;67;Store3
674;Monday;58;Store4
675;Tuesday;101;Store1
676;Tuesday;71;Store2
677;Tuesday;73;Store3
678;Tuesday;63;Store4
679;Wednesday;91;Store1
680;Wednesday;107;Store2
681;Wednesday;61;Store3
682;Wednesday;65;Store4
683;Thursday;87;Store1
684;Thursday;104;Store2
685;Thursday;91;Store3
686;Thursday;65;Store4
687;Friday;73;Store1
688;Friday;49;Store2
689;Friday;61;Store3
690;Friday;61;Store4
691;Saturday;56;Store1
692;Saturday;27;Store2
693;Saturday;52;Store3
694;Saturday;60;Store4
695;Sunday;77;Store1
696;Sunday;89;Store2
697;Sunday;70;Store3
698;Sunday;54;Store4
699;Monday;57;Store1
700;Monday;81;Store2
701;Monday;88;Store3
702;Monday;76;Store4
703;Tuesday;59;Store1
704;Tuesday;83;Store2
705;Tuesday;89;Store3
706;Tuesday;85;Store4
707;Wednesday;75;Store1
708;Wednesday;67;Store2
709;Wednesday;50;Store3
710;Wednesday;66;Store4
711;Thursday;63;Store1
712;Thursday;76;Store2
713;Thursday;133;Store3
714;Thursday;60;Store4
715;Friday;69;Store1
716;Friday;50;Store2
717;Friday;61;Store3
718;Friday;72;Store4
719;Saturday;47;Store1
720;Saturday;40;Store2
721;Saturday;58;Store4
722;Sunday;54;Store1
723;Sunday;74;Store3
724;Sunday;71;Store4
725;Monday;75;Store1
726;Monday;76;Store2
727;Monday;77;Store3
728;Monday;41;Store4
729;Tuesday;75;Store1
730;Tuesday;69;Store2
731;Tuesday;80;Store3
732;Tuesday;60;Store4
733;Wednesday;89;Store1
734;Wednesday;99;Store2
735;Wednesday;67;Store3
736;Wednesday;71;Store4
737;Thursday;77;Store1
738;Thursday;103;Store2
739;Thursday;56;Store3
740;Thursday;62;Store4
741;Friday;73;Store1
742;Friday;62;Store2
743;Friday;39;Store3
744;Friday;94;Store4
745;Saturday;76;Store1
746;Saturday;62;Store2
747;Saturday;72;Store3
748;Saturday;40;Store4
749;Sunday;78;Store1
750;Sunday;74;Store2
751;Sunday;92;Store3
752;Sunday;65;Store4
